ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
8952,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,10,4,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test",2 to 9 employees,PHP	Philippine peso,18000.0,Monthly,Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;Julia;Node.js;PHP;Python;R;Ruby;Scala;SQL;TypeScript;VBA,APL;Assembly;C++;Clojure;COBOL;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Groovy;Haskell;Kotlin;LISP;Matlab;Objective-C;Perl;PowerShell;Rust;Swift,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,Cassandra;Couchbase;DynamoDB;Firebase;IBM DB2;Oracle;PostgreSQL;Redis,AWS;Google Cloud Platform;Heroku;Microsoft Azure,DigitalOcean;IBM Cloud or Watson;Oracle Cloud Infrastructure,Angular;Angular.js;ASP.NET;ASP.NET Core ;Drupal;Express;Flask;jQuery;React.js;Vue.js,Django;FastAPI;Gatsby;Laravel;Ruby on Rails;Spring;Svelte;Symfony,.NET Framework;.NET Core / .NET 5;NumPy;Pandas;React Native,Apache Spark;Cordova;Flutter;Hadoop;Keras;Qt;TensorFlow;Torch/PyTorch,Git;Kubernetes;Xamarin;Yarn,Ansible;Chef;Deno;Docker;Flow;Pulumi;Puppet;Terraform;Unity 3D;Unreal Engine,Android Studio;Atom;Eclipse;Emacs;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;RStudio;Sublime Text;Vim;Visual Studio;Visual Studio Code,Neovim;PHPStorm;PyCharm;Rider;RubyMine;TextMate;Webstorm;Xcode,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,4272.0
9285,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",5,4,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Database administrator;Developer, embedded applications or devices;Designer;Engineer, site reliability;System administrator",500 to 999 employees,PHP	Philippine peso,,Monthly,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;Java;JavaScript;PHP;Python;SQL,Firebase;Microsoft SQL Server;MySQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,,,jQuery;Laravel,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;jQuery;Laravel;React.js;Vue.js,Apache Spark,.NET Core / .NET 5;Apache Spark;Cordova;React Native;TensorFlow,Git;Unity 3D,Docker;Flow;Git;Unity 3D;Unreal Engine,Android Studio;IntelliJ;PHPStorm,Android Studio;IntelliJ;PHPStorm;Webstorm,Linux-based,Visit Stack Overflow;Google it;Meditate,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,Prefer not to say,Appropriate in length,Easy,
9331,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Books / Physical media",11,6,Other (please specify):,"1,000 to 4,999 employees",PHP	Philippine peso,40000.0,Monthly,COBOL;HTML/CSS;JavaScript,JavaScript;Node.js;TypeScript,MySQL,,Google Cloud Platform,Google Cloud Platform,React.js,Angular.js;React.js;Ruby on Rails;Vue.js,React Native,React Native,,,Android Studio;Eclipse;Notepad++;Sublime Text;Visual Studio;Xcode,Android Studio;Xcode,Other (please specify):,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Woman,No,,Southeast Asian,None of the above,,Too long,Easy,9480.0
9554,I am a developer by profession,Employed full-time,Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",8,5,"Developer, front-end;Developer, full-stack;Developer, embedded applications or devices",20 to 99 employees,AUD	Australian dollar,130000.0,Yearly,JavaScript;Node.js;Python;Rust;TypeScript,Python;Rust;Swift;TypeScript,PostgreSQL;Redis,Elasticsearch;PostgreSQL,AWS;Google Cloud Platform,DigitalOcean;Google Cloud Platform,Django;React.js,Django;React.js;Svelte,NumPy;React Native,Qt;React Native,Docker;Flow;Git;Terraform;Yarn,Docker;Git;Kubernetes;Terraform,PyCharm;Webstorm,PyCharm;Webstorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,No,,"No, not at all",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,Prefer not to say,Appropriate in length,Neither easy nor difficult,86853.0
9729,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,6,3,"Developer, front-end",100 to 499 employees,PHP	Philippine peso,,Monthly,C#;HTML/CSS;JavaScript;PHP;Python;SQL,Kotlin;Node.js;Ruby;Swift,Microsoft SQL Server;MySQL,Firebase;Oracle,,,ASP.NET;Django;jQuery,Angular.js;Flask;Laravel;React.js;Vue.js,.NET Framework,.NET Core / .NET 5;Flutter;Torch/PyTorch,Git,Docker;Unity 3D,PyCharm;Sublime Text;Visual Studio;Visual Studio Code,Android Studio;Eclipse;IPython/Jupyter;NetBeans;Xcode,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Man,,,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
9878,I am a developer by profession,Employed full-time,Philippines,,,Some college/university study without earning a degree,18 - 24 years,School,4,2,Other (please specify):,100 to 499 employees,USD	United States dollar,,Monthly,Assembly;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript,Firebase;MongoDB;MySQL;SQLite,Firebase;MongoDB;MySQL;SQLite,AWS;Google Cloud Platform;Heroku,AWS;Heroku,Angular;Angular.js;Django;Express;jQuery;Laravel;React.js;Ruby on Rails;Vue.js,Express;Laravel;Ruby on Rails;Vue.js,Flutter;React Native,React Native,Docker;Flow;Git;Unity 3D;Yarn,Docker;Flow;Git;Yarn,Android Studio;NetBeans;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code,Visual Studio Code,Windows,Google it,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,18-24 years old,Man,No,Prefer to self-describe:,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
9900,I am a developer by profession,Employed part-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,6,2,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator",20 to 99 employees,PHP	Philippine peso,18000.0,Monthly,C#;Java;Node.js;SQL,,Firebase;MariaDB;MySQL;SQLite,,Google Cloud Platform,,Express,,.NET Framework,,,,Android Studio;NetBeans;Notepad++;Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Too long,Easy,4272.0
9959,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,9,2,"Developer, full-stack",20 to 99 employees,PHP	Philippine peso,,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,MySQL;PostgreSQL,Firebase;MongoDB;MySQL;PostgreSQL,,,Angular;jQuery;React.js;Vue.js,React.js;Svelte;Vue.js,React Native,Flutter;React Native,Git,Docker;Git,Visual Studio Code,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
9982,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc)",4,2,"Developer, full-stack",I don’t know,PHP	Philippine peso,18000.0,Monthly,HTML/CSS;JavaScript;PHP;Python,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,MySQL,MongoDB;MySQL,Heroku,AWS;Heroku,jQuery;Laravel;Vue.js,jQuery;React.js;Vue.js,Cordova,Cordova,Docker;Git;Yarn,Git;Yarn,Android Studio;Atom;Sublime Text;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,4272.0
10001,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Books / Physical media,21,16,Database administrator,100 to 499 employees,PHP	Philippine peso,32900.0,Monthly,HTML/CSS;JavaScript;Ruby;SQL,HTML/CSS;JavaScript;PHP;Ruby;SQL,Oracle;SQLite,Oracle;SQLite,,,Ruby on Rails,Laravel;Ruby on Rails,,,,,Visual Studio Code,Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,7800.0
10062,I am a student who is learning to code,"Student, full-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,School;Books / Physical media,3,,,,,,,Assembly;C++;Java;JavaScript;Node.js;Python;VBA,,Firebase,MongoDB;MySQL,,,React.js,Django;Express;Flask;Laravel;Vue.js,.NET Framework,React Native,Git,Yarn,Android Studio;NetBeans;Notepad++;Visual Studio;Visual Studio Code,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,Neutral,No,18-24 years old,Woman,No,Straight / Heterosexual,Multiracial;Southeast Asian;East Asian,None of the above,None of the above,Appropriate in length,Easy,
10081,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Books / Physical media,11,8,"Developer, full-stack;Data scientist or machine learning specialist;Database administrator;System administrator;Educator",20 to 99 employees,PHP	Philippine peso,65000.0,Monthly,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;VBA,C++;Dart;Rust,MariaDB;MySQL;PostgreSQL;Redis,PostgreSQL;Redis,AWS;Heroku,Heroku,Drupal;jQuery;Laravel;Vue.js,Laravel;Svelte;Vue.js,Flutter,Flutter,Docker;Git,Docker;Git;Kubernetes;Unreal Engine,Android Studio;Atom;Notepad++;PHPStorm;Vim;Visual Studio Code,Android Studio;Notepad++;PHPStorm;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,15408.0
10106,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Philippines,,,Some college/university study without earning a degree,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",10,3,"Developer, full-stack;DevOps specialist;System administrator",10 to 19 employees,AUD	Australian dollar,1700.0,Monthly,Java;Python;TypeScript,,Firebase,Firebase,Google Cloud Platform,Google Cloud Platform,Angular;Express;Flask;React.js,Express;React.js,React Native,React Native,Docker;Git;Yarn,Docker;Git;Yarn,Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode,Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,Yes,35-44 years old,Man,No,,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have autism / an autism spectrum disorder (e.g. Asperger's)",Too long,Neither easy nor difficult,13632.0
10125,I am a student who is learning to code,I prefer not to say,Philippines,,,Primary/elementary school,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",1,,,,,,,C;C#;C++;Java;Python;Ruby;SQL,Bash/Shell;C;C#;C++;Java;JavaScript;Node.js;Objective-C;PHP;Python;SQL,SQLite,SQLite,,,,,,,Git;Unity 3D,Git,Visual Studio,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,,"No, not really",No,Under 18 years old,Prefer not to say,No,Prefer not to say,Southeast Asian,None of the above,Prefer not to say,Appropriate in length,Neither easy nor difficult,
10139,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Courses or Certification,9,5,"Developer, full-stack",2 to 9 employees,PHP	Philippine peso,,,HTML/CSS;JavaScript;Node.js,JavaScript;Node.js;Python;TypeScript,MariaDB;MySQL,MariaDB;MySQL;PostgreSQL,DigitalOcean,AWS,Express;React.js,Express;Laravel;React.js,,,Git,Git,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,,Southeast Asian,,,Appropriate in length,Easy,
10150,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,14,8,"Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,PHP	Philippine peso,90000.0,Monthly,HTML/CSS;JavaScript;Node.js;SQL,Go;HTML/CSS;Node.js;Python;SQL;TypeScript,MySQL;PostgreSQL;Redis,DynamoDB;MySQL;PostgreSQL;Redis,AWS,AWS;Microsoft Azure,Express;React.js,Django;Express;React.js;Vue.js,,,Git,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,21336.0
